attribute;alt1;alt2;sq;choice.set
climate;1;0;0;1
flood;1;0;0;1
drought;1;2;0;1
freshwater;1;2;0;1
habitat;0;1;0;1
cost;400;50;0;1
climate;2;1;0;2
flood;1;0;0;2
drought;2;1;0;2
freshwater;1;2;0;2
habitat;1;0;0;2
cost;50;400;0;2
climate;1;2;0;3
flood;0;2;0;3
drought;0;2;0;3
freshwater;0;0;0;3
habitat;1;0;0;3
cost;100;500;0;3
climate;0;2;0;4
flood;2;1;0;4
drought;0;1;0;4
freshwater;1;0;0;4
habitat;0;1;0;4
cost;150;150;0;4
climate;2;1;0;5
flood;2;1;0;5
drought;1;2;0;5
freshwater;2;1;0;5
habitat;0;1;0;5
cost;50;300;0;5
climate;2;0;0;6
flood;0;1;0;6
drought;1;0;0;6
freshwater;1;0;0;6
habitat;1;0;0;6
cost;300;100;0;6
climate;1;0;0;7
flood;1;2;0;7
drought;2;1;0;7
freshwater;2;1;0;7
habitat;0;1;0;7
cost;100;150;0;7
climate;0;1;0;8
flood;0;2;0;8
drought;1;0;0;8
freshwater;0;2;0;8
habitat;0;1;0;8
cost;200;100;0;8
climate;1;2;0;9
flood;2;0;0;9
drought;2;0;0;9
freshwater;0;1;0;9
habitat;1;0;0;9
cost;150;200;0;9
climate;0;1;0;10
flood;1;1;0;10
drought;0;1;0;10
freshwater;2;1;0;10
habitat;1;0;0;10
cost;500;50;0;10
